geographic_entity,state,constituency,matched_pc_id,matched_pc_name,mapping_status,coordinate_type,geo_source,validation_status,reason
"BANKA, Bihar",Bihar,BANKA,1027,Banka,MATCHED,CONSTITUENCY_CENTROID,DataMeet ECI Delimitation 2019,VALID,Normalized exact/alias key match
"SUNDARGARH (ST), Odisha",Odisha,SUNDARGARH (ST),2102,Sundargarh,MATCHED,CONSTITUENCY_CENTROID,DataMeet ECI Delimitation 2019,VALID,Normalized exact/alias key match
"CHHINDWARA, Madhya Pradesh",Madhya Pradesh,CHHINDWARA,2316,Chhindwara,MATCHED,CONSTITUENCY_CENTROID,DataMeet ECI Delimitation 2019,VALID,Normalized exact/alias key match
"AJMER, Rajasthan",Rajasthan,AJMER,813,Ajmer,MATCHED,CONSTITUENCY_CENTROID,DataMeet ECI Delimitation 2019,VALID,Normalized exact/alias key match
"DHUBRI, Assam",Assam,DHUBRI,1804,Dhubri,MATCHED,CONSTITUENCY_CENTROID,DataMeet ECI Delimitation 2019,VALID,Normalized exact/alias key match
"SREERAMPUR, West Bengal",West Bengal,SREERAMPUR,1927,Sreerampur,MATCHED,CONSTITUENCY_CENTROID,DataMeet ECI Delimitation 2019,VALID,Normalized exact/alias key match
"BASTAR(ST), Chhattisgarh",Chhattisgarh,BASTAR(ST),2210,Bastar,MATCHED,CONSTITUENCY_CENTROID,DataMeet ECI Delimitation 2019,VALID,Normalized exact/alias key match
"SASARAM(SC), Bihar",Bihar,SASARAM(SC),1034,Sasaram,MATCHED,CONSTITUENCY_CENTROID,DataMeet ECI Delimitation 2019,VALID,Normalized exact/alias key match
"DARJEELING, West Bengal",West Bengal,DARJEELING,1904,Darjeeling,MATCHED,CONSTITUENCY_CENTROID,DataMeet ECI Delimitation 2019,VALID,Normalized exact/alias key match
"GUNA, Madhya Pradesh",Madhya Pradesh,GUNA,2304,Guna,MATCHED,CONSTITUENCY_CENTROID,DataMeet ECI Delimitation 2019,VALID,Normalized exact/alias key match
"RANCHI, Jharkhand",Jharkhand,RANCHI,2008,Ranchi,MATCHED,CONSTITUENCY_CENTROID,DataMeet ECI Delimitation 2019,VALID,Normalized exact/alias key match
"DHAR(ST), Madhya Pradesh",Madhya Pradesh,DHAR(ST),2325,Dhar,MATCHED,CONSTITUENCY_CENTROID,DataMeet ECI Delimitation 2019,VALID,Normalized exact/alias key match
"KANGRA, Himachal Pradesh",Himachal Pradesh,KANGRA,201,Kangra,MATCHED,CONSTITUENCY_CENTROID,DataMeet ECI Delimitation 2019,VALID,Normalized exact/alias key match
"MORENA, Madhya Pradesh",Madhya Pradesh,MORENA,2301,Morena,MATCHED,CONSTITUENCY_CENTROID,DataMeet ECI Delimitation 2019,VALID,Normalized exact/alias key match
"POLLACHI, Tamil Nadu",Tamil Nadu,POLLACHI,3321,Pollachi,MATCHED,CONSTITUENCY_CENTROID,DataMeet ECI Delimitation 2019,VALID,Normalized exact/alias key match
"BHATINDA, Punjab",Punjab,BHATINDA,311,Bathinda,MATCHED,CONSTITUENCY_CENTROID,DataMeet ECI Delimitation 2019,VALID,Normalized exact/alias key match
"SARGUJA(ST), Chhattisgarh",Chhattisgarh,SARGUJA(ST),2201,Surguja,MATCHED,CONSTITUENCY_CENTROID,DataMeet ECI Delimitation 2019,VALID,Normalized exact/alias key match
"BHONGIR, Telangana",Telangana,BHONGIR,2814,Bhuvanagiri,MATCHED,CONSTITUENCY_CENTROID,DataMeet ECI Delimitation 2019,VALID,Normalized exact/alias key match
"RANAGHAT(SC), West Bengal",West Bengal,RANAGHAT(SC),1913,Ranaghat,MATCHED,CONSTITUENCY_CENTROID,DataMeet ECI Delimitation 2019,VALID,Normalized exact/alias key match
"JALGAON, Maharashtra",Maharashtra,JALGAON,2703,Jalgaon,MATCHED,CONSTITUENCY_CENTROID,DataMeet ECI Delimitation 2019,VALID,Normalized exact/alias key match
"LAKHIMPUR, Assam",Assam,LAKHIMPUR,1814,Lakhimpur,MATCHED,CONSTITUENCY_CENTROID,DataMeet ECI Delimitation 2019,VALID,Normalized exact/alias key match
"MIZORAM (ST), Mizoram",Mizoram,MIZORAM (ST),1501,Mizoram,MATCHED,CONSTITUENCY_CENTROID,DataMeet ECI Delimitation 2019,VALID,Normalized exact/alias key match
"UDAIPUR(ST), Rajasthan",Rajasthan,UDAIPUR(ST),819,Udaipur,MATCHED,CONSTITUENCY_CENTROID,DataMeet ECI Delimitation 2019,VALID,Normalized exact/alias key match
"KOTA, Rajasthan",Rajasthan,KOTA,824,Kota,MATCHED,CONSTITUENCY_CENTROID,DataMeet ECI Delimitation 2019,VALID,Normalized exact/alias key match
"CHITTORGARH, Rajasthan",Rajasthan,CHITTORGARH,821,Chittorgarh,MATCHED,CONSTITUENCY_CENTROID,DataMeet ECI Delimitation 2019,VALID,Normalized exact/alias key match
"MEERUT, Uttar Pradesh",Uttar Pradesh,MEERUT,910,Meerut,MATCHED,CONSTITUENCY_CENTROID,DataMeet ECI Delimitation 2019,VALID,Normalized exact/alias key match
"GURGAON, Haryana",Haryana,GURGAON,609,Gurgaon,MATCHED,CONSTITUENCY_CENTROID,DataMeet ECI Delimitation 2019,VALID,Normalized exact/alias key match
"RAE BARELI, Uttar Pradesh",Uttar Pradesh,RAE BARELI,936,Rae Bareli,MATCHED,CONSTITUENCY_CENTROID,DataMeet ECI Delimitation 2019,VALID,Normalized exact/alias key match
